"","accession","species","month","day","year","latitude","longitude","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","museum","sample"
"25",6991,"Passerina ciris",7,28,1933,26.816667,-108.533333,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"26",6990,"Passerina ciris",8,2,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"27",6995,"Passerina ciris",8,2,1933,26.90293,-108.695006,2,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"28",7050,"Passerina ciris",8,2,1933,26.90293,-108.695006,3,2,1,1,0,0,0,0,0,NA,"MLZ","historical"
"29",6988,"Passerina ciris",8,3,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"30",7045,"Passerina ciris",8,3,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"31",7046,"Passerina ciris",8,3,1933,26.90293,-108.695006,3,2,1,1,0,0,0,0,0,NA,"MLZ","historical"
"32",7047,"Passerina ciris",8,3,1933,26.90293,-108.695006,3,3,2,1,0,0,0,0,0,NA,"MLZ","historical"
"33",7052,"Passerina ciris",8,4,1933,26.90293,-108.695006,5,5,3,3,1,0,0,0,0,NA,"MLZ","historical"
"34",6989,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"35",6993,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"36",6994,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"37",6997,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"38",7048,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"39",7049,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"40",7053,"Passerina ciris",8,5,1933,26.90293,-108.695006,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"41",6984,"Passerina ciris",8,5,1933,26.90293,-108.695006,2,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"42",6986,"Passerina ciris",8,6,1933,26.90293,-108.695006,1,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"43",6996,"Passerina ciris",8,6,1933,26.90293,-108.695006,2,1,1,0,0,0,0,0,0,NA,"MLZ","historical"
"44",6999,"Passerina ciris",8,6,1933,26.90293,-108.695006,2,1,1,1,0,0,0,0,0,NA,"MLZ","historical"
"45",7051,"Passerina ciris",8,7,1933,26.90293,-108.695006,3,3,2,1,1,0,0,0,0,NA,"MLZ","historical"
"46",6992,"Passerina ciris",8,8,1933,26.90293,-108.695006,2,2,1,0,0,0,0,0,0,NA,"MLZ","historical"
"47",7055,"Passerina ciris",8,10,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"48",7059,"Passerina ciris",8,10,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"49",7060,"Passerina ciris",8,12,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"50",7054,"Passerina ciris",8,15,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"51",6259,"Passerina ciris",8,15,1933,26.90293,-108.695006,5,5,5,4,2,1,0,0,0,NA,"MLZ","historical"
"52",7057,"Passerina ciris",8,16,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"53",7062,"Passerina ciris",8,16,1933,25.919848,-109.173211,1,1,2,2,0,0,0,0,0,NA,"MLZ","historical"
"54",7056,"Passerina ciris",8,23,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"55",7058,"Passerina ciris",8,23,1933,25.919848,-109.173211,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"56",6261,"Passerina ciris",8,27,1933,26.816667,-108.533333,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"57",6998,"Passerina ciris",8,27,1933,26.816667,-108.533333,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"58",6262,"Passerina ciris",8,27,1933,26.816667,-108.533333,5,5,2,1,1,0,0,0,0,NA,"MLZ","historical"
"59",6441,"Passerina ciris",8,28,1933,26.816667,-108.533333,5,5,4,3,1,0,0,0,0,NA,"MLZ","historical"
"60",6260,"Passerina ciris",8,30,1933,26.816667,-108.533333,5,5,5,5,4,1,1,0,0,NA,"MLZ","historical"
"61",6987,"Passerina ciris",9,4,1933,26.90293,-108.695006,5,3,3,2,1,0,0,0,0,NA,"MLZ","historical"
"62",6264,"Passerina ciris",9,8,1933,25.919848,-109.173211,5,5,5,5,5,5,5,5,1,NA,"MLZ","historical"
"63",6258,"Passerina ciris",9,18,1933,26.90293,-108.695006,5,5,5,5,5,5,5,4,4,NA,"MLZ","historical"
"64",7093,"Passerina ciris",9,22,1933,25.458424,-108.079763,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"65",6265,"Passerina ciris",9,25,1933,25.458424,-108.079763,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"66",7094,"Passerina ciris",9,29,1933,25.458424,-108.079763,5,5,5,5,5,5,5,4,3,NA,"MLZ","historical"
"67",7091,"Passerina ciris",9,29,1933,25.458424,-108.079763,5,5,5,5,5,5,5,5,4,NA,"MLZ","historical"
"68",7095,"Passerina ciris",10,1,1933,25.458424,-108.079763,5,5,5,5,5,5,4,4,3,NA,"MLZ","historical"
"91",11874,"Passerina ciris",9,8,1934,22.993252,-105.858632,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"92",11878,"Passerina ciris",9,27,1934,22.993252,-105.858632,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"93",11875,"Passerina ciris",9,28,1934,22.993252,-105.858632,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"94",11877,"Passerina ciris",9,29,1934,22.993252,-105.858632,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"95",11876,"Passerina ciris",10,5,1934,22.993252,-105.858632,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"96",11879,"Passerina ciris",10,13,1934,22.993252,-105.858632,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"105",15992,"Passerina ciris",8,3,1936,25.813589,-107.389758,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"159",35256,"Passerina ciris",9,8,1942,16.244958,-92.350578,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"160",35255,"Passerina ciris",10,17,1942,16.244958,-92.350578,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"165",31751,"Passerina ciris",11,5,1943,18.201376,-96.48278,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"170",31782,"Passerina ciris",10,29,1944,18.201376,-96.48278,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"177",41565,"Passerina ciris",11,21,1945,19.3,-90.466667,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"187",44449,"Passerina ciris",10,20,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"188",44454,"Passerina ciris",10,20,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"189",44589,"Passerina ciris",10,20,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"190",44483,"Passerina ciris",10,23,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"191",44464,"Passerina ciris",10,24,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"192",44609,"Passerina ciris",10,25,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"193",44457,"Passerina ciris",10,27,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"194",44519,"Passerina ciris",10,27,1946,18.559789,-99.270783,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"206",50673,"Passerina ciris",7,1,1949,25.665161,-101.433779,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"207",50710,"Passerina ciris",7,2,1949,25.665161,-101.433779,0,0,0,0,0,0,0,0,0,NA,"MLZ","historical"
"213",53342,"Passerina ciris",10,11,1951,19.633703,-104.441847,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"214",53344,"Passerina ciris",10,12,1951,19.633703,-104.441847,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"215",53341,"Passerina ciris",10,15,1951,19.633703,-104.441847,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"220",54713,"Passerina ciris",10,21,1952,16.350166,-95.335095,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"221",54712,"Passerina ciris",10,23,1952,16.350166,-95.335095,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"227",58303,"Passerina ciris",11,9,1954,22.422892,-105.349167,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"242",66057,"Passerina ciris",10,22,1969,34.126573,-118.209991,5,5,5,5,5,5,5,5,5,NA,"MLZ","historical"
"245",42112,"Passerina ciris",8,22,1985,32.7650475,-79.8376465,5,5,4,3,1,0,0,0,0,NA,"UWBM","modern"
"352",81445,"Passerina ciris",7,22,2005,24.304,-106.764,0,0,0,0,0,0,0,0,0,NA,"UWBM","modern"
"353",81358,"Passerina ciris",7,28,2005,26.304,-108.699,0,0,0,0,0,0,0,0,0,NA,"UWBM","modern"
"354",81250,"Passerina ciris",7,28,2005,26.304,-108.699,1,1,0,0,0,0,0,0,0,NA,"UWBM","modern"
"355",81290,"Passerina ciris",8,6,2005,23.754,-109.975,1,1,0,0,0,0,0,0,0,NA,"UWBM","modern"
"356",81395,"Passerina ciris",8,10,2005,26.304,-108.699,5,4,3,2,1,0,0,0,0,NA,"UWBM","modern"
"388",86530,"Passerina ciris",9,10,2007,26.31,-108.81,5,5,5,5,4,4,3,2,1,NA,"UWBM","modern"
"389",86508,"Passerina ciris",9,16,2007,26.31,-108.81,5,5,5,5,5,5,4,4,3,NA,"UWBM","modern"
"390",86545,"Passerina ciris",9,17,2007,26.324,-108.69,5,5,5,4,4,2,1,0,0,NA,"UWBM","modern"
"391",86543,"Passerina ciris",9,17,2007,26.324,-108.69,5,5,5,4,4,4,3,2,1,NA,"UWBM","modern"
"392",86546,"Passerina ciris",9,17,2007,26.324,-108.69,5,5,5,5,4,5,4,1,1,NA,"UWBM","modern"
"393",86542,"Passerina ciris",9,17,2007,26.324,-108.69,5,5,5,5,5,4,3,2,1,NA,"UWBM","modern"
"394",86544,"Passerina ciris",9,17,2007,26.324,-108.69,5,5,5,5,5,4,3,2,2,NA,"UWBM","modern"
"395",86519,"Passerina ciris",9,23,2007,26.305,-108.809,5,5,5,5,5,5,4,3,3,NA,"UWBM","modern"
"406",89071,"Passerina ciris",7,27,2009,26.3155,-108.6989,1,1,0,0,0,0,0,0,0,NA,"UWBM","modern"
"407",88963,"Passerina ciris",8,11,2009,26.3014459,-108.7452508,0,0,0,0,0,0,0,0,0,NA,"UWBM","modern"
"408",88961,"Passerina ciris",8,11,2009,26.3014459,-108.7452508,1,0,0,0,0,0,0,0,0,NA,"UWBM","modern"
"409",88964,"Passerina ciris",8,11,2009,26.3014459,-108.7452508,4,2,2,1,0,0,0,0,0,NA,"UWBM","modern"
"410",88971,"Passerina ciris",8,12,2009,26.305,-108.809,1,1,0,0,0,0,0,0,0,NA,"UWBM","modern"
"411",89126,"Passerina ciris",8,12,2009,28.3054,-108.8089,5,5,4,3,1,0,0,0,0,NA,"UWBM","modern"
"412",88983,"Passerina ciris",8,13,2009,25.9647,-108.9827,1,2,0,0,0,0,0,0,0,NA,"UWBM","modern"
"413",88984,"Passerina ciris",8,13,2009,25.9647,-108.9827,2,2,1,0,0,0,0,0,0,NA,"UWBM","modern"
"414",88980,"Passerina ciris",8,13,2009,25.9647,-108.9827,2,2,1,1,0,0,0,0,0,NA,"UWBM","modern"
"415",89135,"Passerina ciris",8,13,2009,25.9647,-108.9827,3,2,2,1,0,0,0,0,0,NA,"UWBM","modern"
"416",89130,"Passerina ciris",8,13,2009,25.9647,-108.9827,3,3,1,0,0,0,0,0,0,NA,"UWBM","modern"
"417",88979,"Passerina ciris",8,13,2009,25.9647,-108.9827,3,3,2,1,0,0,0,0,0,NA,"UWBM","modern"
"418",88982,"Passerina ciris",8,13,2009,25.9647,-108.9827,3,3,2,1,0,0,0,0,0,NA,"UWBM","modern"
"419",88992,"Passerina ciris",8,13,2009,26.3155,-108.6989,3,3,3,1,0,0,0,0,0,NA,"UWBM","modern"
"420",89136,"Passerina ciris",8,13,2009,25.9647,-108.9827,3,3,3,1,0,0,0,0,0,NA,"UWBM","modern"
"421",88977,"Passerina ciris",8,13,2009,25.9647,-108.9827,4,3,3,2,0,0,0,0,0,NA,"UWBM","modern"
"422",89026,"Passerina ciris",8,13,2009,26.3155,-108.6989,4,4,3,1,0,0,0,0,0,NA,"UWBM","modern"
"423",89133,"Passerina ciris",8,13,2009,25.9647,-108.9827,4,4,3,3,0,0,0,0,0,NA,"UWBM","modern"
"424",89137,"Passerina ciris",8,13,2009,25.9647,-108.9827,5,4,3,1,0,0,0,0,0,NA,"UWBM","modern"
"425",89131,"Passerina ciris",8,13,2009,25.9647,-108.9827,5,4,4,1,0,0,0,0,0,NA,"UWBM","modern"
"426",89132,"Passerina ciris",8,13,2009,25.9647,-108.9827,5,4,3,3,1,0,0,0,0,NA,"UWBM","modern"
"427",89146,"Passerina ciris",8,16,2009,25.9647,-108.9827,2,2,2,1,0,0,0,0,0,NA,"UWBM","modern"
"428",89142,"Passerina ciris",8,16,2009,25.9647,-108.9827,5,3,3,1,0,0,0,0,0,NA,"UWBM","modern"
"429",89141,"Passerina ciris",8,16,2009,25.9647,-108.9827,5,4,3,1,0,0,0,0,0,NA,"UWBM","modern"
"430",89143,"Passerina ciris",8,16,2009,25.9647,-108.9827,5,4,4,3,1,0,0,0,0,NA,"UWBM","modern"
"431",89145,"Passerina ciris",8,16,2009,25.9647,-108.9827,5,4,4,3,2,0,0,0,0,NA,"UWBM","modern"
"432",89144,"Passerina ciris",8,16,2009,25.9647,-108.9827,5,4,4,4,3,0,0,0,0,NA,"UWBM","modern"
"433",89148,"Passerina ciris",8,16,2009,25.9647,-108.9827,5,5,5,4,3,2,0,0,0,NA,"UWBM","modern"
"434",89150,"Passerina ciris",8,17,2009,26.3054,-108.8089,1,1,0,0,0,0,0,0,0,NA,"UWBM","modern"
"435",89151,"Passerina ciris",8,17,2009,26.3054,-108.8089,1,1,0,0,0,0,0,0,0,NA,"UWBM","modern"
"451",116892,"Passerina ciris",9,12,2010,26.2941,-108.7449,5,5,5,5,5,5,3,2,1,NA,"UWBM","modern"
"452",116889,"Passerina ciris",9,12,2010,26.2941,-108.7449,5,5,5,5,5,5,3,3,1,NA,"UWBM","modern"
"453",90575,"Passerina ciris",9,24,2010,26.2941,-108.7449,5,5,5,5,4,4,3,2,1,NA,"UWBM","modern"
"454",90573,"Passerina ciris",9,24,2010,26.2941,-108.7449,5,5,5,5,5,4,4,3,2,NA,"UWBM","modern"
"455",90574,"Passerina ciris",9,24,2010,26.2941,-108.7449,5,5,5,5,5,5,2,2,1,NA,"UWBM","modern"
"456",90576,"Passerina ciris",9,24,2010,26.2941,-108.7449,5,5,5,5,5,5,4,3,2,NA,"UWBM","modern"
"457",90572,"Passerina ciris",9,24,2010,26.2941,-108.7449,5,5,5,5,5,5,5,4,4,NA,"UWBM","modern"
"458",90633,"Passerina ciris",9,30,2010,26.2941,-108.7449,4,5,5,5,5,5,5,5,5,NA,"UWBM","modern"
"459",90625,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,4,3,2,2,1,NA,"UWBM","modern"
"460",90627,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,4,4,2,2,NA,"UWBM","modern"
"461",90635,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,4,4,4,3,NA,"UWBM","modern"
"462",90634,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,5,3,3,2,NA,"UWBM","modern"
"463",90631,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,5,4,3,2,NA,"UWBM","modern"
"464",90630,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,5,4,3,3,NA,"UWBM","modern"
"465",90632,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,5,4,3,3,NA,"UWBM","modern"
"466",90626,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,5,4,4,3,NA,"UWBM","modern"
"467",90629,"Passerina ciris",9,30,2010,26.2941,-108.7449,5,5,5,5,5,5,4,4,3,NA,"UWBM","modern"
"490",25,"Passerina ciris",9,10,2018,29.918,-108.686,5,5,5,5,5,5,4,1,0,NA,"UANL","modern"
"491",24,"Passerina ciris",9,10,2018,29.918,-108.686,5,5,5,5,5,5,4,2,1,NA,"UANL","modern"
"492",24,"Passerina ciris",9,10,2018,29.918,-108.686,5,5,5,5,5,5,4,4,2,NA,"UANL","modern"
"493",21,"Passerina ciris",9,10,2018,29.918,-108.686,5,5,5,5,5,5,4,4,3,NA,"UANL","modern"
"494",22,"Passerina ciris",9,10,2018,29.918,-108.686,5,5,5,5,5,5,4,4,3,NA,"UANL","modern"
"495",23,"Passerina ciris",9,10,2018,29.918,-108.686,5,5,5,5,5,5,4,4,3,NA,"UANL","modern"
"496",7,"Passerina ciris",9,11,2018,29.918,-108.686,4,4,4,4,4,3,1,0,0,NA,"UANL","modern"
"497",2,"Passerina ciris",9,11,2018,29.918,-108.686,5,5,5,5,5,5,4,2,0,NA,"UANL","modern"
"498",4,"Passerina ciris",9,11,2018,29.918,-108.686,5,5,5,5,5,5,4,2,1,NA,"UANL","modern"
"499",9,"Passerina ciris",9,12,2018,29.918,-108.686,5,5,5,5,2,1,0,0,0,NA,"UANL","modern"
"500",8,"Passerina ciris",9,12,2018,29.918,-108.686,5,5,5,5,5,4,4,1,1,NA,"UANL","modern"
"501",11,"Passerina ciris",9,12,2018,29.918,-108.686,5,5,5,5,5,4,4,1,1,NA,"UANL","modern"
"502",17,"Passerina ciris",9,12,2018,29.918,-108.686,5,5,5,5,5,4,4,2,1,NA,"UANL","modern"
